sessionId,contentId,eventId
user-000063,1149757,1
user-000064,1149599,0
user-000065,769374,0
user-000065,1009442,1
user-000066,1149671,0
user-000066,1148570,1
user-000067,1149614,0
user-000067,1149663,1
user-000067,1149927,2
user-000068,1149671,0
user-000069,1149677,0
user-000070,1149679,0
user-000070,1149892,1
user-000071,1149739,0
user-000071,1149892,1
user-000071,1149614,2
user-000072,1149671,0
user-000072,1149740,1
user-000072,1149664,2
user-000072,1149780,3
user-000073,1149617,0
user-000074,1149672,0
user-000075,1149740,0
user-000075,1149917,1
user-000075,1149892,2
user-000075,1149614,3
user-000076,1149614,0
user-000076,1149892,1
user-000077,1149631,0
user-000077,1149836,1
user-000077,1149604,2
user-000077,1149541,3
user-000077,1149629,4
user-000077,1149626,5
user-000077,1148570,6
user-000077,1148797,7
user-000077,1149740,8
user-000077,1149935,9
user-000077,1149944,10
user-000078,1149553,0
user-000079,1149892,0
user-000079,1130609,1
user-000080,1123783,0
user-000080,1123783,1
user-000081,1149366,0
user-000081,1148570,1
user-000081,1148570,2
user-000082,1143389,0
user-000082,1085236,1
user-000083,1123677,0
user-000083,1066999,1
user-000084,1149671,0
user-000085,1149882,0
user-000085,1149880,1
user-000085,1149784,2
user-000086,1149671,0
user-000087,1149671,0
user-000087,1149675,1
user-000087,1149675,2
user-000087,1149647,3
user-000087,1149927,4
user-000087,1149928,5
user-000087,1149892,6
user-000087,1149663,7
user-000087,1149554,8
user-000088,1149729,0
user-000089,1149927,0
user-000089,1149675,1
user-000089,1149892,2
user-000089,1130609,3
user-000089,1149917,4
user-000090,1149553,0
user-000091,1149927,0
user-000091,1149784,1
user-000092,1149479,0
user-000093,1149550,0
user-000093,1149729,1
user-000094,1149671,0
user-000094,1149675,1
user-000095,1149623,0
user-000096,1148570,0
user-000097,1149675,0
user-000098,1149917,0
user-000098,1149892,1
user-000099,1149757,0
user-000099,1148262,1
user-000100,1149671,0
user-000100,1149892,1
user-000100,1149941,2
user-000101,1149671,0
user-000101,1149927,1
user-000101,1149892,2
user-000102,1111368,0
user-000102,1100796,1
user-000103,1149664,0
user-000103,1149660,1
user-000103,1149569,2
user-000103,1149661,3
user-000103,1149626,4
user-000103,1149458,5
user-000103,1149479,6
user-000103,1149423,7
user-000103,1149418,8
user-000103,1149578,9
user-000103,1149614,10
user-000103,1149931,11
user-000103,1149892,12
user-000103,1149967,13
user-000103,1149614,14
user-000104,1148352,0
user-000104,1149423,1
user-000105,1149671,0
user-000105,1149759,1
user-000105,1149740,2
user-000105,1149892,3
user-000106,1149924,0
user-000107,1149396,0
user-000108,1149892,0
user-000108,1149924,1
user-000109,1149554,0
user-000109,1140958,1
user-000109,1149892,2
user-000110,1149892,0
user-000110,1149757,1
user-000111,1149927,0
user-000111,1149018,1
user-000112,1149594,0
user-000112,1149757,1
user-000112,1149735,2
user-000112,1149934,3
user-000112,1149946,4
user-000113,1149479,0
user-000113,1139740,1
user-000114,636348,0
user-000114,1149671,1
user-000115,1147556,0
user-000115,1147556,1
user-000115,1149228,2
user-000115,1149008,3
user-000115,1148674,4
user-000115,1147234,5
user-000115,1145876,6
user-000115,1148296,7
user-000115,1149817,8
user-000116,1149626,0
user-000116,1149672,1
user-000116,1149584,2
user-000116,1149102,3
user-000117,1149653,0
user-000117,1149618,1
user-000118,1149799,0
user-000118,1149675,1
user-000118,1149899,2
user-000119,1055701,0
user-000119,684845,1
user-000120,1149679,0
user-000120,1149623,1
user-000120,1149759,2
user-000121,1149784,0
user-000121,1076279,1
user-000122,1149864,0
user-000123,1149892,0
user-000123,1149955,1
user-000124,1149945,0
user-000124,1149757,1
user-000125,1149599,0
user-000125,1148570,1
user-000126,1149911,0
user-000127,1144759,0
user-000127,1131764,1
user-000128,1149599,0
user-000128,1149671,1
user-000129,1149671,0
user-000129,1149955,1
user-000130,1149599,0
user-000130,1149759,1
user-000130,1149553,2
user-000130,1149740,3
user-000131,1149679,0
user-000131,1149679,1
user-000132,1149671,0
user-000132,1149086,1
user-000132,1149599,2
user-000133,1149704,0
user-000134,1149671,0
user-000134,1149647,1
user-000135,1149675,0
user-000135,1149614,1
user-000136,1149671,0
user-000136,1149653,1
user-000136,1149740,2
user-000137,1149660,0
user-000137,1149675,1
user-000138,1149614,0
user-000138,1149961,1
user-000138,1149892,2
user-000138,1149677,3
user-000138,1149927,4
user-000138,1149971,5
user-000138,1149967,6
user-000138,1149659,7
user-000138,1149986,8
user-000139,1149917,0
user-000139,1133252,1
user-000140,1149653,0
user-000140,1149599,1
user-000141,1149892,0
user-000141,1130609,1
user-000141,1149752,2
user-000142,1149491,0
user-000142,1149729,1
user-000142,1149729,2
user-000142,1149955,3
user-000143,1149671,0
user-000143,1138804,1
user-000143,1072794,2
user-000143,1051796,3
user-000144,1148570,0
user-000144,1149784,1
user-000145,1149671,0
user-000146,1149660,0
user-000146,1149671,1
user-000146,1149631,2
user-000146,1149634,3
user-000146,1149664,4
user-000146,1149405,5
user-000146,1149628,6
user-000146,1148570,7
user-000146,1149617,8
user-000146,1149635,9
user-000146,1149599,10
user-000146,1149660,11
user-000146,1149955,12
user-000147,1148570,0
user-000147,1137034,1
user-000148,1149927,0
user-000148,1149955,1
user-000148,1149967,2
user-000149,1149623,0
user-000149,1149553,1
user-000150,1149671,0
user-000150,1148309,1
user-000150,1149892,2
user-000151,1149623,0
user-000151,1147378,1
user-000152,1149627,0
user-000152,1148841,1
user-000152,1149941,2
user-000153,1149570,0
user-000153,1149784,1
user-000153,1149927,2
user-000153,1149660,3
user-000153,1149869,4
user-000153,1149704,5
user-000154,1149927,0
user-000154,1149675,1
user-000154,1149704,2
user-000155,1149704,0
user-000155,1129422,1
user-000155,1148570,2
user-000156,1149661,0
user-000156,1148494,1
user-000156,1048380,2
user-000157,1149599,0
user-000157,1149672,1
user-000157,1149757,2
user-000157,1149955,3
user-000158,1149553,0
user-000158,1148570,1
user-000159,1149672,0
user-000159,1149660,1
user-000159,1149819,2
user-000160,1149599,0
user-000160,1149817,1
user-000160,1149817,2
user-000161,1149757,0
user-000161,1148570,1
user-000161,1149671,2
user-000161,1149927,3
user-000161,1149675,4
user-000161,1149341,5
user-000161,1149438,6
user-000162,1149599,0
user-000162,1149678,1
user-000162,1149671,2
user-000162,1149653,3
user-000162,1149675,4
user-000162,1149592,5
user-000162,1149661,6
user-000162,1148570,7
user-000162,1148797,8
user-000162,1149608,9
user-000162,1149659,10
user-000162,1149558,11
user-000162,1149640,12
user-000162,1149553,13
user-000162,1149627,14
user-000162,1149679,15
user-000162,1149635,16
user-000162,1149498,17
user-000163,1148570,0
user-000164,1149653,0
user-000165,1149498,0
user-000165,1149936,1
user-000165,1148570,2
user-000165,1142460,3
user-000165,1149465,4
user-000166,1103519,0
user-000166,805900,1
user-000167,1149415,0
user-000168,1148343,0
user-000169,1148570,0
user-000169,1149671,1
user-000170,1149553,0
user-000170,1148570,1
user-000170,1149892,2
user-000171,1149671,0
user-000171,1149599,1
user-000172,1149653,0
user-000172,1149653,1
user-000173,1148570,0
user-000174,1148925,0
user-000174,1148925,1
user-000175,1149623,0
user-000175,1149623,1
user-000175,1149892,2
user-000176,1149636,0
user-000176,1149669,1
user-000176,1149671,2
user-000176,1149892,3
user-000177,1149479,0
user-000177,1149553,1
user-000177,1149671,2
user-000177,1149757,3
user-000178,1149688,0
user-000178,1149614,1
user-000179,1149614,0
user-000179,1149892,1
user-000180,1149675,0
user-000180,1149917,1
user-000181,1148570,0
user-000181,1149660,1
user-000182,1149664,0
user-000182,1149614,1
user-000183,1149671,0
user-000184,1149894,0
user-000185,1149671,0
user-000186,1149635,0
user-000186,1149892,1
user-000186,1149967,2
user-000186,1149650,3
user-000187,1149644,0
user-000187,1148570,1
user-000187,1149892,2
user-000188,1149671,0
user-000189,1149636,0
user-000189,1149669,1
user-000189,1149864,2
user-000190,1149553,0
user-000190,1149653,1
user-000191,1149412,0
user-000191,1149412,1
user-000192,1149236,0
user-000192,1149236,1
user-000193,1148570,0
user-000194,1149671,0
user-000194,1149043,1
user-000195,1149677,0
user-000195,1147585,1
user-000195,1149892,2
user-000195,1149880,3
user-000196,1149623,0
user-000196,1137052,1
user-000197,1149599,0
user-000197,1149660,1
user-000198,1057102,0
user-000198,1057102,1
user-000199,1148570,0
user-000199,1149683,1
user-000199,1149614,2
user-000200,1149618,0
user-000200,1149498,1
user-000200,1149955,2
user-000201,1148570,0
user-000202,1149765,0
user-000203,1149739,0
user-000203,1149892,1
user-000203,1149663,2
user-000204,1149614,0
user-000204,1149927,1
user-000205,1149458,0
user-000205,1149880,1
user-000206,1149784,0
user-000206,1149675,1
user-000206,1149792,2
user-000206,1149938,3
user-000206,1149618,4
user-000206,1149892,5
user-000207,1149621,0
user-000207,1149411,1
user-000208,1149626,0
user-000208,1148804,1
user-000208,1133309,2
user-000209,1148570,0
user-000209,1149917,1
user-000210,1149634,0
user-000210,1149471,1
user-000211,1149671,0
user-000211,1149599,1
user-000211,1148570,2
user-000212,1149458,0
user-000212,1148499,1
user-000212,1148619,2
user-000213,1149553,0
user-000213,1149553,1
user-000214,1149671,0
user-000214,1148570,1
user-000215,1149553,0
user-000215,1148570,1
user-000215,1149558,2
user-000216,1149599,0
user-000216,1149671,1
user-000216,1149740,2
user-000217,1149623,0
user-000217,1149892,1
user-000217,1149892,2
user-000218,1067755,0
user-000219,1148570,0
user-000219,1149578,1
user-000220,1149498,0
user-000220,1149917,1
user-000221,1149933,0
user-000221,1149892,1
user-000222,1149599,0
user-000223,1149671,0
user-000223,1149740,1
user-000224,1149653,0
user-000224,1148570,1
user-000224,1149656,2
user-000224,1149051,3
user-000224,1149962,4
user-000224,1149679,5
user-000225,1149238,0
user-000225,1149235,1
user-000226,1149404,0
user-000226,1149404,1
user-000227,1149882,0
user-000227,1149892,1
user-000228,1149375,0
user-000228,1149411,1
user-000229,1149759,0
user-000229,1149634,1
user-000230,1149927,0
user-000230,1149675,1
user-000230,1149799,2
user-000230,1149880,3
user-000230,1149679,4
user-000230,1149659,5
user-000230,1145596,6
user-000230,1149608,7
user-000230,1136366,8
user-000231,1149646,0
user-000231,1146130,1
user-000231,1104252,2
user-000231,1101906,3
user-000232,1149671,0
user-000233,1149479,0
user-000233,1149892,1
user-000234,1149043,0
user-000234,1148512,1
user-000235,1149671,0
user-000236,1149647,0
user-000236,1149892,1
user-000236,1149917,2
user-000236,1149955,3
user-000237,1149578,0
user-000237,1149660,1
user-000237,1149660,2
user-000237,1146699,3
user-000237,1149677,4
user-000237,1149892,5
user-000238,1149553,0
user-000239,1109760,0
user-000239,1109760,1
user-000240,1149458,0
user-000240,1149880,1
user-000241,1149672,0
user-000241,1149671,1
user-000241,1149599,2
user-000242,1149671,0
user-000242,1148570,1
user-000243,1149953,0
user-000243,1149879,1
user-000244,1149626,0
user-000245,1149757,0
user-000245,1149892,1
user-000246,1149892,0
user-000246,1146699,1
user-000246,1146699,2
user-000247,1148925,0
user-000248,1149671,0
user-000248,1148570,1
user-000248,1149412,2
user-000249,1028248,0
user-000249,1149499,1
user-000250,1149671,0
user-000250,1149757,1
user-000251,1149704,0
user-000251,1148570,1
user-000252,1149653,0
user-000252,1149614,1
user-000253,1149892,0
user-000253,1149614,1
user-000254,1149599,0
user-000254,1149671,1
user-000255,1149383,0
user-000256,1149892,0
user-000256,1149671,1
user-000257,1149697,0
user-000257,1149621,1
user-000257,1149411,2
user-000258,1149759,0
user-000259,1149626,0
user-000259,1149892,1
user-000259,1149955,2
user-000259,1149955,3
user-000259,1149961,4
user-000260,1149911,0
user-000261,1149675,0
user-000262,1149671,0
user-000262,1149102,1
user-000263,1149599,0
user-000263,1149553,1
user-000263,1149892,2
user-000263,1149955,3
user-000263,1149996,4
user-000264,1149763,0
user-000265,1100401,0
user-000265,1149740,1
user-000266,1148570,0
user-000266,1149945,1
user-000267,1149763,0
user-000267,1149102,1
user-000268,1149558,0
user-000269,1149317,0
user-000270,1149672,0
user-000270,1149757,1
user-000270,1149883,2
user-000271,1149704,0
user-000271,1129422,1
user-000271,1149917,2
user-000272,1148754,0
user-000272,1149817,1
user-000273,1149671,0
user-000273,1149599,1
user-000274,1149665,0
user-000274,1148570,1
user-000274,1149817,2
user-000274,1149631,3
user-000274,1149378,4
user-000274,1149563,5
user-000274,1149740,6
user-000274,1149740,7
user-000274,1149925,8
user-000274,1149957,9
user-000275,1149623,0
user-000276,1149671,0
user-000276,1149675,1
user-000277,1148570,0
user-000277,1148570,1
user-000277,1149614,2
user-000278,1149635,0
user-000278,1149645,1
user-000278,1149624,2
user-000278,1149521,3
user-000278,1149498,4
user-000279,1149650,0
user-000280,1149614,0
user-000280,1138804,1
user-000280,1149043,2
user-000281,1149653,0
user-000281,1149646,1
user-000281,1149653,2
user-000281,1149672,3
user-000281,1149599,4
user-000281,1149759,5
user-000281,1149892,6
user-000281,1149967,7
user-000281,1149943,8
user-000281,1149973,9
user-000281,1149885,10
user-000282,1149759,0
user-000283,1149553,0
user-000283,1149653,1
user-000283,1149661,2
user-000283,1149564,3
user-000283,1149592,4
user-000284,1149653,0
user-000284,1149614,1
user-000284,1149892,2
user-000285,1149553,0
user-000285,1149623,1
user-000285,1149043,2
user-000285,1149671,3
user-000285,1149784,4
user-000285,1149943,5
user-000286,1149671,0
user-000286,1149882,1
user-000286,1149679,2
user-000287,1149553,0
user-000287,1148570,1
user-000288,1149626,0
user-000289,1149671,0
user-000289,1149671,1
user-000290,1148347,0
user-000290,1149671,1
user-000290,1149614,2
user-000291,1149671,0
user-000291,1148570,1
user-000292,1149671,0
user-000293,1148570,0
user-000293,1149704,1
user-000294,1149234,0
user-000294,1148163,1
user-000294,1148570,2
user-000295,1149864,0
user-000295,1149704,1
user-000296,1149448,0
user-000296,1149558,1
user-000297,1149892,0
user-000298,1147474,0
user-000298,1149671,1
user-000299,1149647,0
user-000299,1149675,1
user-000299,1149614,2
user-000299,1149892,3
user-000299,1149955,4
user-000299,1149960,5
user-000299,1149892,6
user-000299,1149955,7
user-000299,1144691,8
user-000300,1149656,0
user-000300,1149892,1
user-000300,1149663,2
user-000300,1149941,3
user-000301,1149658,0
user-000301,1149658,1
user-000302,1149664,0
user-000302,1146761,1
user-000302,1149671,2
user-000302,1149462,3
user-000302,1149892,4
user-000302,1149946,5
user-000302,1149934,6
user-000303,1149415,0
user-000303,1149892,1
user-000304,1149558,0
user-000304,1149660,1
user-000304,1149729,2
user-000305,1062976,0
user-000305,1148418,1
user-000306,1149892,0
user-000306,1149945,1
user-000307,1149927,0
user-000307,1149675,1
user-000307,1149928,2
user-000307,1149784,3
user-000307,1149647,4
user-000308,1149671,0
user-000308,1149892,1
user-000309,1149879,0
user-000309,1149933,1
user-000310,1149614,0
user-000310,1149663,1
user-000311,1149671,0
user-000311,1149547,1
user-000311,1129365,2
user-000311,1149479,3
user-000312,1149599,0
user-000312,1149671,1
user-000313,1149817,0
user-000313,1141893,1
user-000314,1149892,0
user-000314,1149955,1
user-000315,1149538,0
user-000315,1149538,1
user-000316,1149458,0
user-000316,1148061,1
user-000316,1149677,2
user-000316,1149489,3
user-000316,1149741,4
user-000316,1148726,5
user-000316,1148887,6
user-000316,759304,7
user-000317,1149653,0
user-000317,1149644,1
user-000317,1149599,2
user-000317,1149635,3
user-000317,1149617,4
user-000317,1149346,5
user-000317,1149704,6
user-000317,1149740,7
user-000317,1149677,8
user-000317,1149883,9
user-000317,1149850,10
user-000317,1149892,11
user-000317,1149740,12
user-000317,1149955,13
user-000318,1149882,0
user-000318,1149458,1
user-000319,1149682,0
user-000319,1149671,1
user-000320,1149458,0
user-000320,1149880,1
user-000321,1149553,0
user-000321,1149671,1
user-000321,1149599,2
user-000322,1014442,0
user-000322,1014180,1
user-000322,1014184,2
user-000322,1018001,3
user-000322,1053366,4
user-000323,1148570,0
user-000323,1142460,1
user-000323,1135017,2
user-000323,1147504,3
user-000324,1149465,0
user-000324,1149558,1
user-000325,1148570,0
user-000325,1149878,1
user-000325,1149614,2
user-000325,1149784,3
user-000326,1149576,0
user-000326,1148570,1
user-000327,1149664,0
user-000327,1149791,1
user-000327,1149512,2
user-000327,1149030,3
user-000327,1149927,4
user-000327,1149892,5
user-000328,1149570,0
user-000328,1149765,1
user-000329,1149286,0
user-000329,1149623,1
user-000330,1149647,0
user-000330,1149740,1
user-000330,1149661,2
user-000330,1149473,3
user-000331,1149623,0
user-000332,1149671,0
user-000332,1149653,1
user-000332,1148570,2
user-000332,1149892,3
user-000332,1149704,4
user-000333,1149442,0
user-000333,1149671,1
user-000334,1149927,0
user-000334,1149754,1
user-000335,1149671,0
user-000335,1149996,1
user-000336,1149671,0
user-000336,1148570,1
user-000336,1103519,2
user-000337,1149411,0
user-000338,1149960,0
user-000338,1149423,1
user-000339,1149671,0
user-000340,1149614,0
user-000340,1149677,1
user-000340,1147585,2
user-000341,1149757,0
user-000341,1149671,1
user-000342,1149671,0
user-000343,1149671,0
user-000343,1149614,1
user-000344,1149415,0
user-000344,1149412,1
user-000345,1149437,0
user-000346,1148570,0
user-000346,1149966,1
user-000346,1149955,2
user-000346,1149893,3
user-000347,1149816,0
user-000347,1149927,1
user-000348,1149671,0
user-000348,1149784,1
user-000349,1149442,0
user-000349,1149442,1
user-000350,1148499,0
user-000350,1148619,1
user-000351,1149892,0
user-000351,1149917,1
user-000352,1149635,0
user-000352,1149599,1
user-000352,1149553,2
user-000352,1149626,3
user-000352,1149671,4
user-000353,1148570,0
user-000353,1149498,1
user-000354,1148570,0
user-000354,1149740,1
user-000355,1137423,0
user-000355,1148977,1
user-000356,1149736,0
user-000356,1149892,1
user-000357,1149623,0
user-000357,1148570,1
user-000357,1149671,2
user-000358,1149626,0
user-000358,1149304,1
user-000359,1149894,0
user-000359,763963,1
user-000360,1149765,0
user-000360,1149840,1
user-000361,1148793,0
user-000361,1148793,1
user-000362,1146930,0
user-000362,1149614,1
user-000362,1149892,2
user-000362,1130609,3
user-000363,1149614,0
user-000363,1149892,1
user-000363,1149880,2
user-000364,1149623,0
user-000364,1149910,1
user-000365,1143030,0
user-000365,1149892,1
user-000365,1149955,2
user-000366,1149657,0
user-000366,1149671,1
user-000366,1149714,2
user-000367,1149623,0
user-000368,1149642,0
user-000368,1148570,1
user-000368,1149935,2
user-000369,1149671,0
user-000369,1149704,1
user-000370,1149558,0
user-000371,1149599,0
user-000371,1149943,1
user-000372,1149569,0
user-000372,1149671,1
user-000372,1149955,2
user-000372,1149920,3
user-000373,1149894,0
user-000373,1149671,1
user-000373,1149878,2
user-000373,1149759,3
user-000374,1149757,0
user-000374,1149757,1
user-000374,1149892,2
user-000375,1149043,0
user-000375,1149892,1
user-000376,1149623,0
user-000376,1149558,1
user-000376,1149458,2
user-000377,1149671,0
user-000377,1148570,1
user-000378,1149894,0
user-000378,1145771,1
user-000379,1149892,0
user-000379,1149671,1
user-000379,1149917,2
user-000380,1148805,0
user-000380,1149892,1
user-000381,1116909,0
user-000381,1149671,1
user-000382,1149740,0
user-000382,1149671,1
user-000383,1149440,0
user-000383,1148554,1
user-000384,1149623,0
user-000384,1149411,1
user-000385,1149563,0
user-000385,1149255,1
user-000386,1149671,0
user-000386,1149920,1
user-000386,1149883,2
user-000387,1149883,0
user-000387,1149448,1
user-000388,1126700,0
user-000388,1148139,1
user-000389,1149448,0
user-000389,808675,1
user-000389,1149051,2
user-000390,1149650,0
user-000390,1149499,1
user-000391,1149553,0
user-000391,1129168,1
user-000392,1149614,0
user-000393,1149614,0
user-000393,1086727,1
user-000393,1149892,2
user-000393,1149925,3
user-000393,1149796,4
user-000394,1148552,0
user-000394,1149955,1
user-000394,1149971,2
user-000395,1149671,0
user-000395,1149553,1
user-000396,1149671,0
user-000396,1149671,1
user-000397,1149713,0
user-000397,1136734,1
user-000397,1129865,2
user-000397,308945,3
user-000398,1149623,0
user-000399,1149671,0
user-000399,1149927,1
user-000399,1149894,2
user-000399,1149849,3
user-000399,1149739,4
user-000399,1149791,5
user-000400,1149626,0
user-000400,1149614,1
user-000401,1149671,0
user-000401,1148570,1
user-000401,1149553,2
user-000401,1149892,3
user-000402,1149041,0
user-000402,1148009,1
user-000403,1149765,0
user-000403,1149952,1
user-000404,1149671,0
user-000404,1149650,1
user-000405,1149623,0
user-000405,1149671,1
user-000406,1149626,0
user-000406,1149878,1
user-000407,1149614,0
user-000407,1149917,1
user-000407,1149663,2
user-000408,1149671,0
user-000409,1149458,0
user-000409,1149741,1
user-000410,1149671,0
user-000410,1149599,1
user-000411,1149599,0
user-000411,1149679,1
user-000412,1149664,0
user-000412,1149878,1
user-000413,1149925,0
user-000413,1149671,1
user-000414,1149671,0
user-000414,1149599,1
user-000415,1149930,0
user-000415,1149930,1
user-000416,1149759,0
user-000416,1149955,1
user-000417,1149671,0
user-000417,1149672,1
user-000418,1099136,0
user-000418,1072003,1
user-000419,1149553,0
user-000419,1146930,1
user-000420,1149664,0
user-000421,1149558,0
user-000421,1149599,1
user-000421,1148570,2
user-000422,1149943,0
user-000422,1149783,1
user-000423,1149955,0
user-000423,1149892,1
user-000424,1149569,0
user-000424,1149614,1
user-000424,1149941,2
user-000425,1148570,0
user-000425,1149553,1
user-000425,1149671,2
user-000426,1149757,0
user-000427,1149599,0
user-000427,1149671,1
user-000427,1149675,2
user-000427,1149892,3
user-000427,1149614,4
user-000427,1149955,5
user-000428,1149538,0
user-000428,1149538,1
user-000429,1148570,0
user-000429,1149671,1
user-000429,1149553,2
user-000429,1149653,3
user-000429,1149757,4
user-000429,1149739,5
user-000429,1149799,6
user-000429,1149819,7
user-000429,1149986,8
user-000430,1149672,0
user-000430,1149757,1
user-000431,1149623,0
user-000431,1149892,1
user-000432,1149892,0
user-000432,1146699,1
user-000433,1149614,0
user-000433,1149960,1
user-000434,1149671,0
user-000434,1149626,1
user-000434,1149592,2
user-000435,1149960,0
user-000435,1149960,1
user-000436,1149645,0
user-000436,1149961,1
user-000437,1149671,0
user-000437,1148570,1
user-000438,1149892,0
user-000438,1149614,1
user-000439,1149892,0
user-000439,1141236,1
user-000439,1149679,2
user-000440,1149961,0
user-000440,1141893,1
user-000440,1149935,2
user-000441,1149817,0
user-000441,1149961,1
user-000442,1149671,0
user-000442,1149892,1
user-000443,1149599,0
user-000443,1149671,1
user-000443,1149955,2
user-000443,1149614,3
user-000443,1149941,4
user-000443,1149892,5
user-000443,1149784,6
user-000443,1149757,7
user-000444,1149671,0
user-000445,1149882,0
user-000445,1149880,1
user-000446,1149277,0
user-000447,1149634,0
user-000447,1149553,1
user-000447,1149405,2
user-000447,1149635,3
user-000447,1149499,4
user-000447,1149892,5
user-000447,1149677,6
user-000447,1149739,7
user-000448,1149671,0
user-000448,1149920,1
user-000449,1149614,0
user-000449,1149892,1
user-000450,1149599,0
user-000451,318763,0
user-000451,1149917,1
user-000452,1149623,0
user-000453,1149927,0
user-000453,1149297,1
user-000454,1149915,0
user-000454,1149817,1
user-000454,1149538,2
user-000454,1149382,3
user-000454,1149078,4
user-000454,1149664,5
user-000454,1149653,6
user-000454,1149961,7
user-000454,1149957,8
user-000454,1149892,9
user-000455,1149599,0
user-000455,1149671,1
user-000455,1149553,2
user-000456,1149656,0
user-000457,1149892,0
user-000457,1149917,1
user-000458,1149623,0
user-000458,1149849,1
user-000459,1103814,0
user-000459,1019357,1
user-000460,1149623,0
user-000460,1149681,1
user-000460,1149952,2
user-000460,1149892,3
user-000461,1149655,0
user-000462,1148570,0
user-000462,1149757,1
user-000462,1149614,2
user-000462,1149961,3
user-000463,1148570,0
user-000463,1149614,1
user-000464,1149536,0
user-000465,1149902,0
user-000465,1149966,1
user-000465,1149713,2
user-000466,1149555,0
user-000466,1134953,1
user-000467,1149671,0
user-000467,1149892,1
user-000468,1149522,0
user-000468,1148570,1
user-000468,1149486,2
user-000469,1148805,0
user-000469,1149892,1
user-000470,1149524,0
user-000470,1149524,1
user-000470,1149671,2
user-000470,1149882,3
user-000471,1149671,0
user-000472,1149671,0
user-000473,1149677,0
user-000473,1149941,1
user-000473,1149892,2
user-000473,1149614,3
user-000474,1149757,0
user-000474,1149902,1
user-000474,1149892,2
user-000474,1149961,3
